회차,날짜,심볼,방향,레버리지,진입가,청산가,시작금액,손익,손절액,결과,실수 태그,진입 근거
1,2026-01-02,BTCUSDT,롱,10,42000,42600,100,14.29,20,익절,계획대로,전일 고가 돌파 후 되돌림 지지
2,2026-01-03,BTCUSDT,숏,10,43100,43400,100,-6.96,20,손절,계획대로,저항 반등 실패
3,2026-01-05,ETHUSDT,롱,20,2250,2310,80,42.67,25,익절,계획대로,주요 지지 반등
4,2026-01-06,BTCUSDT,롱,50,43800,43500,120,-41.10,25,손절,과도한 레버리지,추세 추종 진입
5,2026-01-08,BTCUSDT,숏,10,44200,43700,100,11.31,20,익절,계획대로,이중 천정
6,2026-01-09,SOLUSDT,롱,20,98.5,96.2,80,-37.36,25,손절,손절 늦음,반등 기대
7,2026-01-11,BTCUSDT,롱,10,42900,43500,110,15.38,22,익절,계획대로,전일 저가 스윕 후 반등
8,2026-01-12,BTCUSDT,숏,10,43600,43200,110,10.09,22,익절,계획대로,고점 스윕 후 이탈
9,2026-01-15,ETHUSDT,숏,20,2340,2380,90,-30.77,28,손절,뇌동매매,직전 손실 만회
10,2026-01-16,BTCUSDT,롱,10,42400,43100,120,19.81,24,익절,계획대로,전일 저가 스윕 후 반등
11,2026-01-18,BTCUSDT,롱,10,43000,43700,120,19.53,24,익절,계획대로,전일 저가 스윕 후 반등
12,2026-01-19,BTCUSDT,숏,15,44100,44400,100,-10.20,20,손절,계획대로,저항 반등 실패
13,2026-01-22,BTCUSDT,롱,10,42800,43600,130,24.30,26,익절,계획대로,전일 저가 스윕 후 반등
14,2026-01-23,SOLUSDT,롱,20,101.2,99.8,90,-24.90,28,손절,FOMO,급등 추격
15,2026-01-25,BTCUSDT,롱,10,43200,43900,130,21.06,26,익절,계획대로,전일 저가 스윕 후 반등
